Date,Branch_ID,City,Service_Type,Account_Type,Transaction_Amount,Transaction_Fee,Currency,Net_Amount,Channel
2023-06-04,F104,Enugu,Airtime Purchase,Business,860479.07,10786.49,USD,849692.58,Web Portal
2023-06-17,F104,Kano,Bill Payment,Individual,508272.74,3445.17,USD,504827.57,Agent Network
2023-03-22,F104,Abuja,Loan Repayment,Business,892068.78,3011.08,NGN,889057.7,Mobile App
2023-10-21,F101,Enugu,Bill Payment,Business,99263.85,917.78,USD,98346.07,Web Portal
2023-04-04,F104,Lagos,Loan Repayment,Individual,768904.66,5592.03,NGN,763312.63,Mobile App
2023-12-12,F104,Lagos,Bill Payment,Business,125446.85,1442.6,NGN,124004.25,Agent Network
2023-05-20,F101,Lagos,Money Transfer,Business,177350.48,682.72,USD,176667.76,Agent Network
2023-03-27,F101,Abuja,Loan Repayment,Individual,482107.77,2069.78,NGN,480037.99,Web Portal
2023-07-29,F103,Kano,Money Transfer,Business,136820.38,843.69,USD,135976.69,Web Portal
2023-12-12,F101,Kano,Airtime Purchase,Individual,887928.31,4245.41,NGN,883682.9,Agent Network
2023-09-27,F102,Kano,Loan Disbursement,Individual,142499.01,1342.4,USD,141156.61,Mobile App
2023-05-18,F102,Lagos,Money Transfer,Individual,771749.3,6167.29,USD,765582.01,Mobile App
2023-08-19,F101,Kano,Loan Repayment,Individual,642003.22,7531.53,NGN,634471.69,Mobile App
2023-05-05,F102,Lagos,Loan Repayment,Individual,458474.17,4903.55,NGN,453570.62,Agent Network
2023-02-10,F102,Kano,Money Transfer,Individual,908389.22,7151.12,USD,901238.1,Mobile App
2023-10-18,F103,Lagos,Bill Payment,Individual,966877.68,3520.33,NGN,963357.35,Mobile App
2023-07-05,F104,Enugu,Airtime Purchase,Business,656622.71,4887.34,NGN,651735.37,Mobile App
2023-01-25,F102,Enugu,Airtime Purchase,Individual,606614.77,6096.06,NGN,600518.71,Web Portal
2023-05-23,F103,Lagos,Bill Payment,Individual,256774.38,1508.72,USD,255265.66,Web Portal
2023-05-05,F102,Abuja,Money Transfer,Business,281225.1,3818.66,USD,277406.44,Mobile App
2023-07-16,F104,Lagos,Bill Payment,Individual,767369.43,10072.56,NGN,757296.87,Agent Network
2023-12-28,F103,Lagos,Loan Disbursement,Individual,764821.4,8997.78,USD,755823.62,Mobile App
2023-11-16,F104,Kano,Airtime Purchase,Individual,351772.04,3371.91,USD,348400.13,Agent Network
2023-01-22,F104,Lagos,Bill Payment,Individual,618598.73,6249.13,USD,612349.6,Agent Network
2023-06-28,F102,Lagos,Airtime Purchase,Business,765069.67,3345.84,NGN,761723.83,Mobile App
2023-06-03,F104,Enugu,Loan Disbursement,Individual,981766.17,4867.92,USD,976898.25,Mobile App
2023-12-25,F101,Kano,Money Transfer,Business,84572.74,579.06,USD,83993.68,Web Portal
2023-10-25,F103,Enugu,Loan Repayment,Individual,143093.08,1186.28,USD,141906.8,Mobile App
2023-08-19,F103,Enugu,Loan Disbursement,Business,40415.78,433.01,USD,39982.77,Agent Network
2023-10-24,F103,Kano,Money Transfer,Individual,635516.32,2903.58,NGN,632612.74,Mobile App
2023-01-17,F101,Abuja,Loan Repayment,Business,328902.7,984.58,NGN,327918.12,Web Portal
2023-12-16,F103,Enugu,Airtime Purchase,Individual,450636.35,2682.69,USD,447953.66,Web Portal
2023-06-21,F104,Kano,Airtime Purchase,Business,499657.78,1948.71,NGN,497709.07,Web Portal
2023-05-02,F104,Kano,Loan Disbursement,Individual,946911.75,2997.3,NGN,943914.45,Agent Network
2023-01-23,F103,Enugu,Bill Payment,Individual,436286.7,2212.92,USD,434073.78,Agent Network
2023-01-06,F101,Abuja,Bill Payment,Individual,812775.77,7409.15,USD,805366.62,Mobile App
2023-03-19,F104,Lagos,Airtime Purchase,Business,249981.56,2186.21,NGN,247795.35,Mobile App
2023-05-20,F102,Abuja,Airtime Purchase,Individual,905639.22,4182.37,USD,901456.85,Mobile App
2023-03-23,F102,Lagos,Bill Payment,Individual,625028.17,2751.31,USD,622276.86,Mobile App
2023-08-02,F103,Abuja,Airtime Purchase,Business,210365.98,1532.19,USD,208833.79,Mobile App
2023-08-29,F101,Lagos,Loan Disbursement,Business,642417.51,4268.79,USD,638148.72,Mobile App
2023-03-06,F103,Abuja,Loan Repayment,Individual,707521.48,10442.06,USD,697079.42,Mobile App
2023-04-07,F101,Lagos,Loan Repayment,Individual,243553.51,3410.74,NGN,240142.77,Agent Network
2023-02-25,F104,Abuja,Bill Payment,Individual,851875.43,2497.76,NGN,849377.67,Agent Network
2023-07-19,F101,Abuja,Money Transfer,Individual,731750.55,8123.23,NGN,723627.32,Mobile App
2023-12-31,F101,Enugu,Loan Repayment,Business,604847.9,8879.32,NGN,595968.58,Agent Network
2023-11-28,F104,Abuja,Airtime Purchase,Business,902604.77,8726.02,USD,893878.75,Web Portal
2023-03-15,F101,Lagos,Loan Disbursement,Individual,596221.82,3831.55,USD,592390.27,Web Portal
2023-03-04,F103,Enugu,Loan Repayment,Business,820155.33,11494.69,USD,808660.64,Agent Network
2023-10-10,F104,Abuja,Loan Disbursement,Individual,3523.74,11.28,NGN,3512.46,Agent Network
2023-07-17,F101,Enugu,Airtime Purchase,Business,936161.69,5711.66,USD,930450.03,Agent Network
2023-04-03,F101,Lagos,Bill Payment,Business,273228.48,2005.42,USD,271223.06,Mobile App
2023-09-12,F104,Lagos,Airtime Purchase,Individual,394003.36,2957.74,NGN,391045.62,Web Portal
2023-07-11,F104,Enugu,Loan Repayment,Business,354940.15,3254.42,NGN,351685.73,Web Portal
2023-05-13,F104,Abuja,Money Transfer,Individual,142993.39,1955.6,USD,141037.79,Web Portal
2023-06-27,F103,Enugu,Loan Repayment,Individual,700575.0,7107.02,USD,693467.98,Agent Network
2023-09-03,F101,Kano,Bill Payment,Individual,951134.67,4548.88,NGN,946585.79,Agent Network
2023-11-09,F104,Abuja,Loan Disbursement,Business,654190.18,9356.72,NGN,644833.46,Web Portal
2023-01-29,F102,Lagos,Money Transfer,Business,954379.75,12257.9,USD,942121.85,Agent Network
2023-06-15,F101,Lagos,Airtime Purchase,Individual,345829.67,3868.16,USD,341961.51,Web Portal
2023-09-20,F101,Lagos,Airtime Purchase,Business,314128.63,4626.24,USD,309502.39,Mobile App
2023-12-08,F104,Enugu,Airtime Purchase,Individual,688785.58,1787.84,NGN,686997.74,Agent Network
2023-10-22,F104,Abuja,Airtime Purchase,Individual,645960.49,8439.4,NGN,637521.09,Web Portal
2023-05-16,F103,Enugu,Loan Repayment,Business,586774.48,3213.91,USD,583560.57,Web Portal
2023-04-06,F103,Kano,Loan Disbursement,Individual,697258.57,4091.84,USD,693166.73,Mobile App
2023-02-25,F104,Enugu,Money Transfer,Business,573572.46,1609.06,USD,571963.4,Web Portal
2023-01-05,F103,Enugu,Loan Disbursement,Individual,418535.37,4710.91,USD,413824.46,Web Portal
2023-08-23,F103,Abuja,Airtime Purchase,Individual,113031.79,1206.84,NGN,111824.95,Agent Network
2023-11-14,F103,Enugu,Money Transfer,Business,771829.73,9325.86,NGN,762503.87,Agent Network
2023-02-06,F102,Lagos,Loan Repayment,Business,248130.16,1060.19,USD,247069.97,Mobile App
2023-03-27,F102,Enugu,Loan Repayment,Business,602173.14,5055.25,USD,597117.89,Agent Network
2023-04-13,F102,Kano,Loan Disbursement,Business,27668.34,371.16,USD,27297.18,Web Portal
2023-01-19,F101,Abuja,Bill Payment,Business,529630.71,1549.88,NGN,528080.83,Agent Network
2023-09-08,F102,Enugu,Airtime Purchase,Business,824347.58,6857.79,NGN,817489.79,Mobile App
2023-09-16,F103,Enugu,Loan Repayment,Individual,404896.4,3324.44,NGN,401571.96,Agent Network
2023-04-25,F104,Enugu,Money Transfer,Business,268607.02,1896.76,NGN,266710.26,Web Portal
2023-04-14,F104,Lagos,Loan Repayment,Business,310583.4,3210.13,USD,307373.27,Agent Network
2023-04-24,F104,Abuja,Loan Disbursement,Individual,971372.2,10566.14,USD,960806.06,Agent Network
2023-07-19,F101,Lagos,Loan Disbursement,Business,560013.32,7621.61,NGN,552391.71,Agent Network
2023-11-01,F101,Enugu,Airtime Purchase,Individual,100558.79,1442.6,NGN,99116.19,Agent Network
2023-12-31,F103,Enugu,Airtime Purchase,Business,274230.99,2279.78,NGN,271951.21,Mobile App
2023-04-04,F104,Enugu,Bill Payment,Individual,772148.67,5524.94,USD,766623.73,Agent Network
2023-11-06,F101,Enugu,Airtime Purchase,Business,15428.2,187.07,NGN,15241.13,Mobile App
2023-04-23,F104,Abuja,Money Transfer,Individual,960758.93,7285.26,USD,953473.67,Web Portal
2023-07-22,F104,Lagos,Loan Disbursement,Individual,905385.51,6378.0,NGN,899007.51,Web Portal
2023-09-20,F101,Enugu,Loan Disbursement,Business,368476.79,3776.89,NGN,364699.9,Mobile App
2023-02-19,F102,Kano,Money Transfer,Individual,270275.4,1878.26,USD,268397.14,Agent Network
2023-10-13,F102,Abuja,Loan Disbursement,Business,687328.91,5514.59,USD,681814.32,Agent Network
2023-08-04,F104,Kano,Money Transfer,Business,968090.62,4248.86,NGN,963841.76,Agent Network
2023-10-13,F103,Enugu,Airtime Purchase,Individual,922783.6,3269.25,USD,919514.35,Web Portal
2023-05-11,F104,Abuja,Loan Disbursement,Individual,226620.04,2679.91,NGN,223940.13,Web Portal
2023-10-23,F102,Abuja,Loan Disbursement,Business,271443.31,2852.24,NGN,268591.07,Agent Network
2023-10-07,F102,Enugu,Money Transfer,Individual,334413.69,4661.5,NGN,329752.19,Agent Network
2023-04-18,F101,Lagos,Money Transfer,Individual,211624.66,686.43,NGN,210938.23,Agent Network
2023-10-12,F101,Kano,Loan Repayment,Business,54950.74,466.92,NGN,54483.82,Web Portal
2023-04-10,F103,Kano,Airtime Purchase,Business,731828.73,2020.61,USD,729808.12,Agent Network
2023-11-27,F104,Abuja,Airtime Purchase,Business,525077.85,6179.03,NGN,518898.82,Agent Network
2023-09-16,F102,Kano,Loan Repayment,Individual,719856.06,4597.81,USD,715258.25,Mobile App
2023-02-25,F101,Enugu,Loan Repayment,Individual,935114.63,7968.73,NGN,927145.9,Mobile App
2023-09-13,F101,Kano,Loan Disbursement,Individual,274200.5,2757.65,NGN,271442.85,Web Portal
2023-02-19,F101,Lagos,Bill Payment,Individual,892148.72,11404.69,USD,880744.03,Mobile App
2023-10-22,F103,Kano,Loan Disbursement,Individual,506074.8,5798.75,NGN,500276.05,Web Portal
2023-03-29,F103,Lagos,Loan Disbursement,Individual,767588.18,8003.8,USD,759584.38,Web Portal
2023-12-18,F104,Abuja,Airtime Purchase,Individual,804078.71,8324.56,NGN,795754.15,Web Portal
2023-09-17,F101,Enugu,Loan Disbursement,Business,750318.53,10894.67,USD,739423.86,Agent Network
2023-03-20,F101,Abuja,Money Transfer,Business,280374.56,2207.09,NGN,278167.47,Web Portal
2023-12-20,F102,Enugu,Loan Disbursement,Individual,875237.9,4519.96,USD,870717.94,Agent Network
2023-03-27,F103,Lagos,Loan Repayment,Business,561678.79,1259.75,NGN,560419.04,Mobile App
2023-08-18,F104,Lagos,Loan Repayment,Individual,235943.54,1133.86,USD,234809.68,Agent Network
2023-03-21,F102,Abuja,Airtime Purchase,Business,10655.78,72.86,NGN,10582.92,Web Portal
2023-10-07,F103,Lagos,Bill Payment,Individual,367741.07,3136.69,NGN,364604.38,Mobile App
2023-07-29,F104,Lagos,Loan Disbursement,Individual,840602.44,9480.13,USD,831122.31,Agent Network
2023-12-25,F103,Abuja,Loan Disbursement,Individual,859704.76,2882.3,NGN,856822.46,Mobile App
2023-04-19,F104,Enugu,Money Transfer,Individual,662450.91,4093.46,USD,658357.45,Agent Network
2023-10-12,F101,Lagos,Airtime Purchase,Business,916909.76,5549.8,NGN,911359.96,Mobile App
2023-09-15,F104,Enugu,Loan Repayment,Individual,685372.05,6069.95,USD,679302.1,Web Portal
2023-08-10,F102,Lagos,Loan Disbursement,Business,109847.2,681.75,USD,109165.45,Mobile App
2023-01-08,F103,Lagos,Money Transfer,Business,30444.68,200.6,USD,30244.08,Web Portal
2023-07-15,F104,Lagos,Airtime Purchase,Business,465836.29,5711.67,NGN,460124.62,Agent Network
2023-07-13,F104,Abuja,Airtime Purchase,Individual,526741.94,3545.59,NGN,523196.35,Agent Network
2023-06-13,F101,Lagos,Airtime Purchase,Business,858240.79,2833.32,NGN,855407.47,Agent Network
2023-05-22,F101,Kano,Airtime Purchase,Individual,985227.19,10339.47,NGN,974887.72,Mobile App
2023-01-12,F101,Abuja,Airtime Purchase,Business,284178.53,3020.59,USD,281157.94,Mobile App
2023-08-25,F104,Kano,Loan Repayment,Individual,580242.11,6883.83,USD,573358.28,Agent Network
2023-04-03,F104,Kano,Money Transfer,Business,735556.08,7748.22,USD,727807.86,Web Portal
2023-06-03,F104,Lagos,Bill Payment,Business,231683.27,1939.18,USD,229744.09,Agent Network
2023-03-11,F102,Abuja,Airtime Purchase,Business,672797.74,4148.18,NGN,668649.56,Web Portal
2023-03-15,F101,Lagos,Loan Disbursement,Business,947191.53,9574.23,USD,937617.3,Agent Network
2023-02-20,F101,Enugu,Money Transfer,Individual,103161.94,1121.51,USD,102040.43,Agent Network
2023-08-22,F102,Lagos,Airtime Purchase,Business,189815.94,2219.99,USD,187595.95,Web Portal
2023-05-28,F103,Abuja,Airtime Purchase,Business,565415.12,8429.19,USD,556985.93,Mobile App
2023-08-28,F102,Enugu,Money Transfer,Individual,156445.47,1104.23,NGN,155341.24,Agent Network
2023-11-09,F104,Lagos,Money Transfer,Business,457666.69,2516.61,NGN,455150.08,Web Portal
2023-11-23,F101,Enugu,Airtime Purchase,Business,92099.37,254.91,NGN,91844.46,Agent Network
2023-04-10,F102,Enugu,Loan Repayment,Individual,599231.16,3097.78,NGN,596133.38,Web Portal
2023-04-23,F101,Kano,Airtime Purchase,Individual,584263.32,6106.77,NGN,578156.55,Web Portal
2023-10-13,F103,Abuja,Loan Disbursement,Individual,469396.7,1714.62,USD,467682.08,Mobile App
2023-03-12,F104,Kano,Airtime Purchase,Individual,545017.66,7791.88,NGN,537225.78,Agent Network
2023-07-10,F101,Abuja,Airtime Purchase,Business,338358.6,3102.29,USD,335256.31,Web Portal
2023-03-23,F102,Abuja,Airtime Purchase,Business,453716.55,3597.38,NGN,450119.17,Web Portal
2023-12-19,F103,Lagos,Money Transfer,Business,873377.22,9730.61,USD,863646.61,Agent Network
2023-06-25,F101,Abuja,Loan Repayment,Business,276415.29,2219.03,USD,274196.26,Web Portal
2023-01-07,F101,Abuja,Loan Repayment,Business,250026.57,2422.4,USD,247604.17,Mobile App
2023-09-24,F104,Lagos,Loan Repayment,Business,646420.95,2217.95,USD,644203.0,Mobile App
2023-01-24,F103,Enugu,Loan Repayment,Business,774073.63,8970.01,NGN,765103.62,Agent Network
2023-03-19,F102,Enugu,Bill Payment,Business,70831.65,909.71,USD,69921.94,Agent Network
2023-01-19,F104,Abuja,Money Transfer,Individual,198097.9,1056.18,USD,197041.72,Mobile App
2023-04-08,F103,Lagos,Airtime Purchase,Individual,876892.86,5594.01,USD,871298.85,Agent Network
2023-09-27,F103,Enugu,Loan Repayment,Individual,958086.46,8417.14,USD,949669.32,Mobile App
2023-03-24,F103,Enugu,Loan Repayment,Business,699107.92,7271.17,NGN,691836.75,Agent Network
2023-09-06,F104,Kano,Money Transfer,Individual,568662.33,6706.53,USD,561955.8,Web Portal
2023-06-12,F102,Kano,Loan Disbursement,Business,61497.73,329.79,NGN,61167.94,Mobile App
2023-10-08,F101,Kano,Bill Payment,Business,463821.21,2739.09,USD,461082.12,Agent Network
2023-10-09,F101,Abuja,Bill Payment,Business,612232.88,3840.09,USD,608392.79,Web Portal
2023-12-18,F104,Kano,Money Transfer,Individual,507668.37,5388.88,NGN,502279.49,Agent Network
2023-09-06,F101,Abuja,Airtime Purchase,Individual,866957.16,4072.84,USD,862884.32,Mobile App
2023-06-06,F102,Enugu,Loan Disbursement,Business,130710.94,1691.91,USD,129019.03,Mobile App
2023-07-15,F104,Kano,Money Transfer,Individual,198963.81,2983.9,USD,195979.91,Mobile App
2023-09-22,F103,Enugu,Money Transfer,Business,889970.86,9242.66,NGN,880728.2,Web Portal
2023-07-14,F102,Kano,Bill Payment,Business,968818.04,13494.89,NGN,955323.15,Agent Network
2023-06-04,F102,Enugu,Airtime Purchase,Individual,627875.15,8107.53,NGN,619767.62,Web Portal
2023-10-30,F101,Lagos,Money Transfer,Individual,654876.78,4226.02,USD,650650.76,Mobile App
2023-12-19,F103,Kano,Airtime Purchase,Individual,518105.72,4199.94,NGN,513905.78,Agent Network
2023-02-28,F104,Abuja,Loan Disbursement,Individual,126972.13,1321.73,NGN,125650.4,Mobile App
2023-06-04,F103,Enugu,Loan Disbursement,Individual,796155.52,4150.0,NGN,792005.52,Web Portal
2023-11-18,F102,Enugu,Money Transfer,Individual,922487.54,11296.43,NGN,911191.11,Agent Network
2023-03-28,F101,Lagos,Money Transfer,Individual,491617.85,6504.34,NGN,485113.51,Mobile App
2023-06-09,F103,Lagos,Loan Disbursement,Business,46660.59,471.51,NGN,46189.08,Web Portal
2023-06-03,F104,Lagos,Loan Disbursement,Individual,68752.39,295.15,NGN,68457.24,Agent Network
2023-12-01,F102,Abuja,Loan Disbursement,Business,461393.86,1505.44,NGN,459888.42,Mobile App
2023-08-02,F104,Kano,Airtime Purchase,Business,548152.54,7102.63,NGN,541049.91,Agent Network
2023-07-06,F103,Abuja,Money Transfer,Individual,921348.42,7117.79,USD,914230.63,Mobile App
2023-04-17,F103,Abuja,Money Transfer,Individual,758474.74,6464.71,NGN,752010.03,Mobile App
2023-07-25,F102,Kano,Loan Repayment,Individual,606080.86,6979.9,NGN,599100.96,Agent Network
2023-05-31,F101,Abuja,Loan Disbursement,Business,739147.49,8788.28,USD,730359.21,Agent Network
2023-11-04,F102,Kano,Loan Disbursement,Individual,198276.87,2087.21,NGN,196189.66,Agent Network
2023-04-17,F102,Abuja,Airtime Purchase,Individual,246724.86,1541.45,NGN,245183.41,Agent Network
2023-04-30,F102,Lagos,Bill Payment,Individual,869885.13,6940.43,NGN,862944.7,Mobile App
2023-04-19,F102,Abuja,Loan Repayment,Business,544927.99,5304.9,USD,539623.09,Agent Network
2023-07-01,F101,Enugu,Airtime Purchase,Business,285423.7,1374.96,NGN,284048.74,Agent Network
2023-05-11,F103,Lagos,Bill Payment,Business,461448.36,1659.53,NGN,459788.83,Agent Network
2023-10-14,F103,Kano,Loan Repayment,Business,365749.29,3229.37,NGN,362519.92,Agent Network
2023-07-11,F102,Enugu,Money Transfer,Business,465679.17,6829.86,NGN,458849.31,Agent Network
2023-01-13,F104,Abuja,Airtime Purchase,Business,914567.83,13590.89,USD,900976.94,Web Portal
2023-04-24,F101,Abuja,Loan Repayment,Individual,704451.52,7059.52,USD,697392.0,Mobile App
2023-09-08,F101,Enugu,Money Transfer,Individual,91913.96,370.0,NGN,91543.96,Agent Network
2023-11-01,F104,Abuja,Airtime Purchase,Business,486033.68,5238.74,NGN,480794.94,Web Portal
2023-09-03,F103,Kano,Loan Repayment,Individual,407271.34,2598.49,NGN,404672.85,Mobile App
2023-12-26,F101,Abuja,Bill Payment,Individual,387372.47,868.2,NGN,386504.27,Agent Network
2023-01-07,F101,Enugu,Loan Disbursement,Business,557502.83,6380.7,USD,551122.13,Web Portal
2023-11-15,F103,Lagos,Money Transfer,Individual,696190.44,2116.27,USD,694074.17,Agent Network
2023-02-04,F103,Kano,Loan Disbursement,Business,354700.51,5151.44,NGN,349549.07,Mobile App
2023-02-24,F104,Enugu,Bill Payment,Business,290355.5,2439.67,NGN,287915.83,Agent Network
2023-11-30,F101,Enugu,Loan Disbursement,Individual,730369.8,4471.36,NGN,725898.44,Web Portal
2023-01-01,F103,Lagos,Loan Repayment,Individual,82272.6,203.64,NGN,82068.96,Agent Network
2023-10-20,F103,Lagos,Airtime Purchase,Individual,62293.38,675.94,USD,61617.44,Mobile App
2023-09-16,F104,Lagos,Airtime Purchase,Individual,871949.18,11019.76,USD,860929.42,Web Portal
2023-10-02,F101,Kano,Money Transfer,Business,299758.79,3783.71,NGN,295975.08,Mobile App
2023-03-12,F101,Enugu,Money Transfer,Business,189609.51,2488.74,NGN,187120.77,Web Portal
2023-09-02,F101,Lagos,Bill Payment,Individual,74412.87,915.06,NGN,73497.81,Web Portal
2023-05-26,F104,Abuja,Airtime Purchase,Individual,910965.58,3449.56,NGN,907516.02,Agent Network
2023-01-16,F104,Enugu,Bill Payment,Business,558949.38,4439.13,USD,554510.25,Agent Network
2023-11-11,F103,Lagos,Loan Repayment,Business,711439.68,7178.39,NGN,704261.29,Agent Network
2023-03-12,F103,Enugu,Airtime Purchase,Individual,200936.08,1879.44,NGN,199056.64,Agent Network
2023-02-25,F101,Abuja,Loan Disbursement,Business,301083.29,1352.16,USD,299731.13,Mobile App
2023-04-24,F103,Kano,Loan Disbursement,Business,899957.74,10174.32,NGN,889783.42,Mobile App
2023-11-13,F103,Lagos,Airtime Purchase,Business,612062.72,7012.77,USD,605049.95,Mobile App
2023-09-06,F103,Abuja,Money Transfer,Individual,466917.2,1500.18,NGN,465417.02,Web Portal
2023-02-25,F101,Lagos,Bill Payment,Individual,72009.64,817.78,NGN,71191.86,Mobile App
2023-09-27,F103,Lagos,Money Transfer,Individual,95388.13,227.35,USD,95160.78,Web Portal
2023-01-06,F103,Lagos,Bill Payment,Business,618433.8,8658.55,NGN,609775.25,Mobile App
2023-02-11,F104,Kano,Loan Disbursement,Individual,732807.88,3272.23,USD,729535.65,Mobile App
2023-06-12,F103,Enugu,Loan Disbursement,Business,624689.79,4671.19,NGN,620018.6,Web Portal
2023-08-01,F102,Enugu,Bill Payment,Individual,971107.68,3600.64,NGN,967507.04,Mobile App
2023-06-25,F103,Enugu,Airtime Purchase,Business,174558.55,664.99,NGN,173893.56,Mobile App
2023-11-03,F102,Kano,Airtime Purchase,Business,427629.8,4299.34,USD,423330.46,Mobile App
2023-01-27,F103,Abuja,Airtime Purchase,Business,784313.09,11102.15,USD,773210.94,Web Portal
2023-12-03,F102,Abuja,Bill Payment,Individual,41586.55,608.04,USD,40978.51,Mobile App
2023-02-04,F103,Lagos,Money Transfer,Business,78611.21,255.32,USD,78355.89,Web Portal
2023-12-20,F103,Kano,Airtime Purchase,Individual,399119.36,5822.49,USD,393296.87,Mobile App
2023-04-08,F102,Abuja,Airtime Purchase,Individual,821367.02,3088.36,USD,818278.66,Web Portal
2023-07-22,F104,Kano,Bill Payment,Individual,495402.86,3607.6,USD,491795.26,Mobile App
2023-09-05,F101,Enugu,Loan Disbursement,Business,306886.35,3035.52,USD,303850.83,Agent Network
2023-12-31,F104,Kano,Bill Payment,Business,791803.26,9499.85,NGN,782303.41,Agent Network
2023-11-20,F103,Lagos,Bill Payment,Business,94584.75,852.26,USD,93732.49,Web Portal
2023-01-28,F103,Lagos,Loan Disbursement,Individual,983936.77,10507.02,USD,973429.75,Web Portal
2023-09-10,F104,Kano,Loan Repayment,Individual,443338.21,2123.76,USD,441214.45,Agent Network
2023-03-21,F103,Abuja,Money Transfer,Business,140513.08,560.13,USD,139952.95,Agent Network
2023-02-17,F103,Enugu,Money Transfer,Business,960187.75,2558.2,NGN,957629.55,Agent Network
2023-05-08,F104,Kano,Money Transfer,Business,281211.97,3921.55,NGN,277290.42,Mobile App
2023-02-23,F103,Kano,Bill Payment,Business,489882.46,3411.74,NGN,486470.72,Mobile App
2023-07-02,F102,Enugu,Loan Disbursement,Business,687890.35,4238.24,NGN,683652.11,Mobile App
2023-11-11,F101,Abuja,Airtime Purchase,Business,644383.3,5435.78,NGN,638947.52,Agent Network
2023-09-12,F101,Kano,Loan Disbursement,Individual,748593.65,6449.3,NGN,742144.35,Agent Network
2023-10-13,F101,Abuja,Airtime Purchase,Business,626256.83,7128.24,NGN,619128.59,Web Portal
2023-11-03,F101,Kano,Bill Payment,Business,111482.78,550.1,NGN,110932.68,Web Portal
2023-10-27,F102,Abuja,Loan Disbursement,Business,337938.58,750.42,USD,337188.16,Agent Network
2023-09-06,F103,Lagos,Money Transfer,Individual,94792.8,950.92,NGN,93841.88,Web Portal
2023-02-17,F101,Abuja,Loan Repayment,Individual,728758.99,6421.42,USD,722337.57,Mobile App
2023-05-22,F104,Abuja,Airtime Purchase,Individual,906736.81,6503.23,USD,900233.58,Agent Network
2023-03-15,F104,Lagos,Loan Repayment,Individual,722756.76,5429.6,NGN,717327.16,Web Portal
2023-11-21,F103,Kano,Money Transfer,Business,785191.55,4455.33,USD,780736.22,Web Portal
2023-04-29,F103,Lagos,Money Transfer,Individual,452616.62,4833.57,USD,447783.05,Web Portal
2023-01-15,F102,Lagos,Money Transfer,Individual,861861.33,8760.34,NGN,853100.99,Web Portal
2023-04-09,F103,Enugu,Airtime Purchase,Individual,247671.39,656.09,USD,247015.3,Mobile App
2023-04-07,F101,Lagos,Money Transfer,Individual,52778.42,763.46,USD,52014.96,Agent Network
2023-07-25,F103,Kano,Loan Repayment,Business,715302.62,2908.58,NGN,712394.04,Web Portal
2023-01-01,F101,Kano,Bill Payment,Individual,459258.29,3886.7,USD,455371.59,Web Portal
2023-10-25,F104,Lagos,Airtime Purchase,Business,277733.94,814.72,USD,276919.22,Agent Network
2023-05-07,F103,Enugu,Loan Repayment,Business,9581.96,42.29,USD,9539.67,Agent Network
2023-06-30,F104,Abuja,Airtime Purchase,Individual,343183.15,877.33,USD,342305.82,Mobile App
2023-04-16,F103,Enugu,Money Transfer,Business,844894.61,6333.95,NGN,838560.66,Web Portal
2023-06-03,F102,Lagos,Airtime Purchase,Business,316422.71,2114.37,NGN,314308.34,Mobile App
2023-02-01,F103,Abuja,Money Transfer,Individual,231576.58,2727.91,NGN,228848.67,Mobile App
2023-09-12,F103,Enugu,Money Transfer,Business,863303.21,12082.69,USD,851220.52,Mobile App
2023-12-13,F104,Kano,Loan Disbursement,Individual,663253.09,5151.76,NGN,658101.33,Mobile App
2023-01-26,F102,Lagos,Airtime Purchase,Individual,283523.69,3906.98,NGN,279616.71,Mobile App
2023-03-20,F104,Enugu,Bill Payment,Individual,926972.1,7245.69,NGN,919726.41,Web Portal
2023-04-18,F103,Abuja,Loan Disbursement,Individual,576617.57,3502.34,USD,573115.23,Agent Network
2023-04-26,F104,Abuja,Money Transfer,Individual,341174.18,1961.95,NGN,339212.23,Web Portal
2023-04-03,F102,Lagos,Airtime Purchase,Individual,6692.03,91.99,NGN,6600.04,Agent Network
2023-09-02,F101,Lagos,Loan Disbursement,Business,365331.44,4182.75,USD,361148.69,Mobile App
2023-01-30,F104,Kano,Money Transfer,Business,17672.57,39.05,NGN,17633.52,Agent Network
2023-03-11,F103,Enugu,Loan Repayment,Business,436786.89,3718.02,NGN,433068.87,Agent Network
2023-01-20,F101,Kano,Loan Disbursement,Business,747424.41,7611.1,USD,739813.31,Web Portal
2023-07-27,F104,Abuja,Money Transfer,Individual,30252.54,374.79,NGN,29877.75,Agent Network
2023-01-19,F103,Kano,Bill Payment,Individual,179329.53,1102.01,NGN,178227.52,Mobile App
2023-02-28,F101,Kano,Bill Payment,Business,29113.64,339.88,USD,28773.76,Mobile App
2023-06-02,F101,Enugu,Airtime Purchase,Business,876775.58,9098.01,NGN,867677.57,Web Portal
2023-08-01,F101,Kano,Airtime Purchase,Individual,70410.92,309.62,NGN,70101.3,Web Portal
2023-04-17,F104,Kano,Loan Disbursement,Individual,616324.54,2438.16,NGN,613886.38,Agent Network
2023-05-16,F103,Kano,Loan Repayment,Individual,243052.01,1731.9,USD,241320.11,Web Portal
2023-07-16,F101,Abuja,Airtime Purchase,Individual,717804.56,3564.24,USD,714240.32,Mobile App
2023-03-02,F102,Enugu,Loan Repayment,Individual,223811.74,2993.81,NGN,220817.93,Web Portal
